st_cnty_tract,cbsa_cd,cbsa_name,tot_safmr_vau,safmr_vau_share_occ_units
36091062300,10580,"Albany-Schenectady-Troy, NY ",440.88519,79.42807
36091060101,10580,"Albany-Schenectady-Troy, NY ",112.37138,66.100807
36091061301,10580,"Albany-Schenectady-Troy, NY ",51.341728,13.837996
36095740300,10580,"Albany-Schenectady-Troy, NY ",0,0
36093033004,10580,"Albany-Schenectady-Troy, NY ",122.96,46.052433
36091060300,10580,"Albany-Schenectady-Troy, NY ",138.91939,63.145176
36083051901,10580,"Albany-Schenectady-Troy, NY ",128.43983,68.684402
36091062602,10580,"Albany-Schenectady-Troy, NY ",250,54.347828
36001013507,10580,"Albany-Schenectady-Troy, NY ",179.24001,35.776447
36083052404,10580,"Albany-Schenectady-Troy, NY ",398.62936,51.106327
36091062000,10580,"Albany-Schenectady-Troy, NY ",257.07098,50.57338
36001002300,10580,"Albany-Schenectady-Troy, NY ",521.79999,57.027321
36091061800,10580,"Albany-Schenectady-Troy, NY ",506,63.40852
36001014501,10580,"Albany-Schenectady-Troy, NY ",63.522717,50.818172
36083040100,10580,"Albany-Schenectady-Troy, NY ",612.24414,52.835045
36083041200,10580,"Albany-Schenectady-Troy, NY ",302.35446,45.054176
36093033400,10580,"Albany-Schenectady-Troy, NY ",213.84,59.56546
36001012900,10580,"Albany-Schenectady-Troy, NY ",887.32001,56.879486
36083052303,10580,"Albany-Schenectady-Troy, NY ",17.200001,19.325844
36001001902,10580,"Albany-Schenectady-Troy, NY ",0,0
36083051701,10580,"Albany-Schenectady-Troy, NY ",248.23442,73.660065
36093020600,10580,"Albany-Schenectady-Troy, NY ",246.26418,52.960037
36091062200,10580,"Albany-Schenectady-Troy, NY ",697.3548,69.532082
36093020102,10580,"Albany-Schenectady-Troy, NY ",645.38666,94.909805
36001000100,10580,"Albany-Schenectady-Troy, NY ",400.79999,79.053253
36093033200,10580,"Albany-Schenectady-Troy, NY ",187.22545,45.218781
36083051600,10580,"Albany-Schenectady-Troy, NY ",958.59998,57.059521
36091061200,10580,"Albany-Schenectady-Troy, NY ",825.65063,53.868458
36091062509,10580,"Albany-Schenectady-Troy, NY ",205.67999,59.790695
36001013100,10580,"Albany-Schenectady-Troy, NY ",540.5,58.369331
36001013707,10580,"Albany-Schenectady-Troy, NY ",304.37885,59.217674
36083040900,10580,"Albany-Schenectady-Troy, NY ",566.71997,59.156574
36093032000,10580,"Albany-Schenectady-Troy, NY ",235.50284,28.61517
36001001801,10580,"Albany-Schenectady-Troy, NY ",325.46838,46.125172
36001013400,10580,"Albany-Schenectady-Troy, NY ",319,50.958466
36095740700,10580,"Albany-Schenectady-Troy, NY ",372.54333,73.770958
36083040600,10580,"Albany-Schenectady-Troy, NY ",255.84,63.959999
36095740400,10580,"Albany-Schenectady-Troy, NY ",182.18187,44.326488
36091062404,10580,"Albany-Schenectady-Troy, NY ",24.820156,9.849268
36001014002,10580,"Albany-Schenectady-Troy, NY ",361.92001,63.272728
36093033101,10580,"Albany-Schenectady-Troy, NY ",31.084345,42.005871
36001000401,10580,"Albany-Schenectady-Troy, NY ",34.279999,9.7942858
36001000501,10580,"Albany-Schenectady-Troy, NY ",730.91998,57.014038
36083041400,10580,"Albany-Schenectady-Troy, NY ",377.052,28.888096
36001000404,10580,"Albany-Schenectady-Troy, NY ",0,0
36083052603,10580,"Albany-Schenectady-Troy, NY ",51,22.077923
36083041300,10580,"Albany-Schenectady-Troy, NY ",279.56,46.984875
36001014801,10580,"Albany-Schenectady-Troy, NY ",49.747925,40.445469
36091060800,10580,"Albany-Schenectady-Troy, NY ",36.521923,29.692621
36001000200,10580,"Albany-Schenectady-Troy, NY ",967.18079,56.692894
36001000403,10580,"Albany-Schenectady-Troy, NY ",647.50061,56.157902
36001014001,10580,"Albany-Schenectady-Troy, NY ",381.23999,42.73991
36001013503,10580,"Albany-Schenectady-Troy, NY ",548.0932,80.36557
36001013000,10580,"Albany-Schenectady-Troy, NY ",262.04001,37.434288
36001001901,10580,"Albany-Schenectady-Troy, NY ",154.8,43.852692
36001013802,10580,"Albany-Schenectady-Troy, NY ",13,8.8435373
36001001400,10580,"Albany-Schenectady-Troy, NY ",1082.511,48.608486
36083052304,10580,"Albany-Schenectady-Troy, NY ",467.36377,78.813454
36093021500,10580,"Albany-Schenectady-Troy, NY ",348.69717,52.518078
36093031900,10580,"Albany-Schenectady-Troy, NY ",243.32486,55.427074
36091061000,10580,"Albany-Schenectady-Troy, NY ",1005.44,49.675888
36001013703,10580,"Albany-Schenectady-Troy, NY ",52,86.666664
36093021200,10580,"Albany-Schenectady-Troy, NY ",433.72,82.456276
36001013705,10580,"Albany-Schenectady-Troy, NY ",337.98627,46.942535
36083041100,10580,"Albany-Schenectady-Troy, NY ",656.74701,51.175022
36091060701,10580,"Albany-Schenectady-Troy, NY ",318.17566,36.362934
36083052201,10580,"Albany-Schenectady-Troy, NY ",120.68963,60.344814
36001014613,10580,"Albany-Schenectady-Troy, NY ",195.7448,76.388214
36083052502,10580,"Albany-Schenectady-Troy, NY ",173.37238,35.600079
36091062505,10580,"Albany-Schenectady-Troy, NY ",11.704515,15.200668
36083040500,10580,"Albany-Schenectady-Troy, NY ",356.95999,51.808418
36091061404,10580,"Albany-Schenectady-Troy, NY ",23.488787,19.57399
36091062800,10580,"Albany-Schenectady-Troy, NY ",299.60001,62.286903
36083052102,10580,"Albany-Schenectady-Troy, NY ",17,28.813559
36001000300,10580,"Albany-Schenectady-Troy, NY ",1139.9778,54.753975
36093033300,10580,"Albany-Schenectady-Troy, NY ",165.05222,72.391319
36001012800,10580,"Albany-Schenectady-Troy, NY ",748.40002,62.21114
