st_cnty_tract,cbsa_cd,cbsa_name,pov_pct,pov_cat,tot_safmr_vau
36083051600,10580,"Albany-Schenectady-Troy, NY ",12.895823,10-19.9%,958.59998
36093021400,10580,"Albany-Schenectady-Troy, NY ",34.870228,30-39.9%,421.79999
36083052404,10580,"Albany-Schenectady-Troy, NY ",3.3961759,Below 10%,398.62936
36091061301,10580,"Albany-Schenectady-Troy, NY ",8.2176256,Below 10%,51.341728
36091062800,10580,"Albany-Schenectady-Troy, NY ",7.7804294,Below 10%,299.60001
36093032403,10580,"Albany-Schenectady-Troy, NY ",3.0015798,Below 10%,93.68
36001001500,10580,"Albany-Schenectady-Troy, NY ",33.089214,30-39.9%,1382.7273
36093032504,10580,"Albany-Schenectady-Troy, NY ",3.2516892,Below 10%,11.858261
36091061500,10580,"Albany-Schenectady-Troy, NY ",3.5563083,Below 10%,27.875551
36083041400,10580,"Albany-Schenectady-Troy, NY ",8.5469131,Below 10%,377.052
36093032101,10580,"Albany-Schenectady-Troy, NY ",1.1445677,Below 10%,0
36095740500,10580,"Albany-Schenectady-Troy, NY ",9.4909401,Below 10%,272.75879
36091061000,10580,"Albany-Schenectady-Troy, NY ",11.092577,10-19.9%,1005.44
36093032503,10580,"Albany-Schenectady-Troy, NY ",3.70784,Below 10%,18.709507
36091060502,10580,"Albany-Schenectady-Troy, NY ",11.68646,10-19.9%,47
36001014606,10580,"Albany-Schenectady-Troy, NY ",1.6468682,Below 10%,43.798641
36091062405,10580,"Albany-Schenectady-Troy, NY ",4.3872266,Below 10%,940.76001
36001000600,10580,"Albany-Schenectady-Troy, NY ",49.829643,40% or higher,686.62036
36001001600,10580,"Albany-Schenectady-Troy, NY ",20.039196,20-29.9%,765.78778
36093032200,10580,"Albany-Schenectady-Troy, NY ",10.463378,10-19.9%,344.88
36001014608,10580,"Albany-Schenectady-Troy, NY ",6.739871,Below 10%,154.12961
36001013706,10580,"Albany-Schenectady-Troy, NY ",1.3750592,Below 10%,10
36091061404,10580,"Albany-Schenectady-Troy, NY ",3.1678641,Below 10%,23.488787
36091060503,10580,"Albany-Schenectady-Troy, NY ",10.672515,10-19.9%,66.010162
36001014607,10580,"Albany-Schenectady-Troy, NY ",5.3903122,Below 10%,209.00742
36001014612,10580,"Albany-Schenectady-Troy, NY ",6.3925838,Below 10%,119.81575
36001000401,10580,"Albany-Schenectady-Troy, NY ",8.0878677,Below 10%,34.279999
36091062601,10580,"Albany-Schenectady-Troy, NY ",0.38216561,Below 10%,7.1697216
36093021001,10580,"Albany-Schenectady-Troy, NY ",29.095074,20-29.9%,389
36001002500,10580,"Albany-Schenectady-Troy, NY ",36.35508,30-39.9%,796
36091061303,10580,"Albany-Schenectady-Troy, NY ",0.45586175,Below 10%,0.14933871
36001013602,10580,"Albany-Schenectady-Troy, NY ",8.5338631,Below 10%,429.59796
36091061403,10580,"Albany-Schenectady-Troy, NY ",5.3960619,Below 10%,252.48
36001000800,10580,"Albany-Schenectady-Troy, NY ",40.271713,40% or higher,462.51251
36001014503,10580,"Albany-Schenectady-Troy, NY ",3.9478321,Below 10%,97.400002
36091062508,10580,"Albany-Schenectady-Troy, NY ",5.7816834,Below 10%,451.72
36091060702,10580,"Albany-Schenectady-Troy, NY ",2.8776231,Below 10%,542.82269
36083052004,10580,"Albany-Schenectady-Troy, NY ",3.5347245,Below 10%,92.340897
36093033004,10580,"Albany-Schenectady-Troy, NY ",4.2625422,Below 10%,122.96
36091062403,10580,"Albany-Schenectady-Troy, NY ",5.0357652,Below 10%,359.73065
36091061200,10580,"Albany-Schenectady-Troy, NY ",13.02552,10-19.9%,825.65063
